overall_rank,feature,importance_mean,rank_mean,n_protein_coding_genes,cancer_genes
1,chr20p,0.0135238082591924,5.8,186.0,CDC25B;CSNK2A1;FOXA2;JAG1;MCM8;PCNA;TASP1
2,chr11q,0.0132412185165119,6.6,869.0,ANO1;ATM;CCND1;CHEK1;FGF19;FGF3;FGF4
3,chr7p,0.013123502361512,6.6,300.0,EGFR
4,chr17p,0.0129766434373581,10.2,347.0,TP53
5,chr12q,0.0128750790640083,6.8,747.0,ARID2;CDK4;HNF1A;KMT2D;MDM2
7,chr20q,0.0126279291032523,9.8,362.0,PTPRT
8,chr3p,0.0125807214541045,10.0,512.0,CTNNB1;FHIT;MLH1;SETD2;VHL
9,chr10p,0.0123538005916446,12.0,153.0,
10,chr2q,0.0123325209041116,14.4,779.0,ERBB4;NFE2L2
11,chr12p,0.0122745349396089,13.2,294.0,CDKN1B;KRAS
12,chr5p,0.0122011983950708,14.8,157.0,
13,chr19p,0.0121929135031099,13.6,641.0,KEAP1;SMARCA4;STK11
14,chr4q,0.0121879285872714,15.0,523.0,FBXW7
16,chr18q,0.0119521852274758,18.4,201.0,BCL2;GATA6;SMAD4
17,chr7q,0.0118307715663794,20.8,634.0,CDK6;KMT2C;MET
18,chr6p,0.0117996795062848,20.2,621.0,VEGFA
19,chr5q,0.0117849639121633,18.6,737.0,APC
20,chr21q,0.0117635139931061,20.6,220.0,RUNX1
22,chr3q,0.0116114242126337,22.4,572.0,BCL6;PIK3CA;SOX2
23,chr13q,0.0115882036930453,23.6,322.0,BRCA2;DCLK1;RB1
24,chr6q,0.0115752588345024,23.0,431.0,SYNE1
25,chr19q,0.0115193952358602,21.8,836.0,CCNE1
26,chr10q,0.0114471638633601,25.2,578.0,CTNNA3;FGFR2;PTEN
27,chr11p,0.0114038140821837,25.8,450.0,TRIM44
29,chr16p,0.0112914822532006,27.6,472.0,CREBBP;PALB2
