contrast,mean,lo,hi
T1: image - baseline,0.2259,0.0569,0.398
T1: text - baseline,0.1056,-0.125,0.3072
T1: late_mean - best single (c),0.0611,-0.0388,0.1807
T2a: image - baseline,0.1088,-0.0283,0.2341
T2a: text - baseline,-0.0947,-0.2353,0.0348
T2a: late_mean - best single (c),-0.0427,-0.0965,0.0163
T2b: image - baseline,0.2325,0.1227,0.3493
T2b: text - baseline,0.0303,-0.0952,0.1681
T2b: late_mean - best single (c),-0.0362,-0.0824,0.0104
T2c: image - baseline,0.012,-0.0912,0.1176
T2c: text - baseline,0.0033,-0.1096,0.1248
T2c: late_mean - best single (c),0.0441,-0.0232,0.1254
T3a: image - baseline,0.2438,0.182,0.3077
T3b: image - baseline,0.2614,0.1926,0.3286
T4: image - baseline,0.2303,0.1754,0.2811
