overall_rank,feature,ftype,importance_mean,importance_std,importance_min,importance_max,rank_mean,rank_best,n_folds,n_protein_coding_genes,cancer_genes,top_cancer_genes
1,chr20p,arm,0.0135238082591924,0.0013614677922004,0.0115207706160064,0.0150462608682325,5.8,1,5,186.0,CDC25B;CSNK2A1;FOXA2;JAG1;MCM8;PCNA;TASP1,"CDC25B, CSNK2A1, FOXA2, JAG1, MCM8"
2,chr11q,arm,0.0132412185165119,0.0010395263669232,0.0123344077936243,0.0149909174558384,6.6,1,5,869.0,ANO1;ATM;CCND1;CHEK1;FGF19;FGF3;FGF4,"ANO1, ATM, CCND1, CHEK1, FGF19"
3,chr7p,arm,0.013123502361512,0.0012316862240133,0.0122962289996667,0.015226065646316,6.6,1,5,300.0,EGFR,EGFR
4,chr17p,arm,0.0129766434373581,0.0014942892219468,0.0105215458012485,0.0145571583383687,10.2,2,5,347.0,TP53,TP53
5,chr12q,arm,0.0128750790640083,0.0005069765103694,0.0124366756530026,0.0136593355550674,6.8,1,5,747.0,ARID2;CDK4;HNF1A;KMT2D;MDM2,"ARID2, CDK4, HNF1A, KMT2D, MDM2"
6,chr11:50000001-55000000,window,0.0126329578851884,0.0008956069874845,0.0116876111143583,0.0137881600638082,10.6,2,5,4.0,,
7,chr20q,arm,0.0126279291032523,0.0008626645679381,0.0115784560542201,0.0136452383510378,9.8,4,5,362.0,PTPRT,PTPRT
8,chr3p,arm,0.0125807214541045,0.0010549755108906,0.011377864882972,0.0135550735705464,10.0,3,5,512.0,CTNNB1;FHIT;MLH1;SETD2;VHL,"CTNNB1, FHIT, MLH1, SETD2, VHL"
9,chr10p,arm,0.0123538005916446,0.0003625657213225,0.0120984293804135,0.0129603448319862,12.0,3,5,153.0,,
10,chr2q,arm,0.0123325209041116,0.001081544839848,0.0111254384167179,0.0134536076187712,14.4,4,5,779.0,ERBB4;NFE2L2,"ERBB4, NFE2L2"
11,chr12p,arm,0.0122745349396089,0.0004200432848681,0.0118634703332714,0.0128463570733582,13.2,8,5,294.0,CDKN1B;KRAS,"CDKN1B, KRAS"
12,chr5p,arm,0.0122011983950708,0.0011253546014821,0.0105866426689631,0.013316314666184,14.8,5,5,157.0,,
13,chr19p,arm,0.0121929135031099,0.0006439748053569,0.0111185084913158,0.0127153772156881,13.6,6,5,641.0,KEAP1;SMARCA4;STK11,"KEAP1, SMARCA4, STK11"
14,chr4q,arm,0.0121879285872714,0.000548774786331,0.0117034956872869,0.0130015063574243,15.0,5,5,523.0,FBXW7,FBXW7
15,cx,other,0.0121598566931165,0.000573018918664,0.0114833358516731,0.0127666352810637,14.4,6,5,,,cx (complexity score — not a genomic locus)
16,chr18q,arm,0.0119521852274758,0.0006712081215319,0.0109495440651596,0.0127829821121829,18.4,5,5,201.0,BCL2;GATA6;SMAD4,"BCL2, GATA6, SMAD4"
17,chr7q,arm,0.0118307715663794,0.0007324258975206,0.0112666657409289,0.0130378480628792,20.8,9,5,634.0,CDK6;KMT2C;MET,"CDK6, KMT2C, MET"
18,chr6p,arm,0.0117996795062848,0.0007606725659383,0.0107875258580076,0.0125928644556223,20.2,7,5,621.0,VEGFA,VEGFA
19,chr5q,arm,0.0117849639121633,0.0007287341576906,0.0112298362572895,0.0129793307913132,18.6,2,5,737.0,APC,APC
20,chr21q,arm,0.0117635139931061,0.0005646984551075,0.0109568063485082,0.0124374940214075,20.6,11,5,220.0,RUNX1,RUNX1
21,chr16:35000001-40000000,window,0.0117025506974912,0.000564341877481,0.0112264910768745,0.0124584463061262,19.0,7,5,0.0,,
22,chr3q,arm,0.0116114242126337,0.0012812661896023,0.009832734025191,0.0128283599404561,22.4,12,5,572.0,BCL6;PIK3CA;SOX2,"BCL6, PIK3CA, SOX2"
23,chr13q,arm,0.0115882036930453,0.000433422033766,0.0111990646152423,0.0122267418743679,23.6,12,5,322.0,BRCA2;DCLK1;RB1,"BRCA2, DCLK1, RB1"
24,chr6q,arm,0.0115752588345024,0.0006987100519415,0.0109178803717021,0.0127035624115294,23.0,6,5,431.0,SYNE1,SYNE1
